mineralName_ja,mineralName_katakana,mineralName_en,category
アクアマリン（緑柱石の一種）,アクアマリン,Aquamarine,シクロ(サイクロ）珪酸塩鉱物
アタカマ石,アタカマ,Atacamite,ハロゲン化鉱物
アダム鉱,アダム,Adamite,砒酸塩鉱物
アノーソクレース,アノーソクレース,Anorthoclase,テクト珪酸塩鉱物
アンケル石,アンケル,Ankerite,炭酸塩鉱物
アントレル鉱,アントレル,Antlerite,硫酸塩鉱物
ウラノフェン,ウラノフェン,Uranophane,ネソ珪酸塩鉱物
ウルツ鉱,ウルツ,Wurtzite,硫化鉱物・硫塩鉱物
エジリン輝石（錐輝石）,エジリン,Aegirine,イノ珪酸塩鉱物
オリーブ銅鉱,オリーブ,Olivenite,砒酸塩鉱物
カーン石,カーン,Kahnite,硼酸塩鉱物
カルノー石,カルノー,Carnotite,バナジン酸塩鉱物
キューバ鉱,キューバ,Cubanite,硫化鉱物・硫塩鉱物
クトナホラ石,クトナホラ,Kutnohorite,炭酸塩鉱物
クリプトメレン,クリプトメレン,Cryptomelane,酸化鉱物
クロム鉄鉱,クロム,Chromite,酸化鉱物
ゲーレン石,ゲーレン,Gehlenite,ソロ珪酸塩鉱物
コールマン石,コールマン,Colemanite,硼酸塩鉱物
コルンブ石,コルンブ,Columbite,酸化鉱物
ジルコン,ジルコン,Zircon,ネソ珪酸塩鉱物
スコロド石（葱臭石）,スコロド,Scorodite,砒酸塩鉱物
ズニ石,ズニ,Zunyite,ソロ珪酸塩鉱物
スパー石,スパー,Spurrite,ネソ珪酸塩鉱物
セムセイ鉱,セムセイ,Semseyite,硫化鉱物・硫塩鉱物
ソーダ沸石,ソーダ,Natrolite,テクト珪酸塩鉱物
ダイヤモンド,ダイヤモンド,Diamond,元素鉱物
ダトー石,ダトー,Datolite,ネソ珪酸塩鉱物
ダンブリ石,ダンブリ,Danburite,ソロ珪酸塩鉱物
チタン石（くさび石）,チタン,Titanite,ネソ珪酸塩鉱物
チタン鉄鉱,チタン,Ilmenite,酸化鉱物
チリ硝石,チリ,Nitratine,硝酸塩鉱物
ティール鉱,ティール,Teallite,硫化鉱物・硫塩鉱物
ティレー石,ティレー,Tilleyite,ソロ珪酸塩鉱物
デーナ石,デーナ,Danalite,テクト珪酸塩鉱物
デクロワゾー石,デクロワゾー,Descloizite,バナジン酸塩鉱物
テフロ石,テフロ,Tephroite,ネソ珪酸塩鉱物
デュモルチ石,デュモルチ,Dumortierite,ネソ珪酸塩鉱物
デュルレ鉱,デュルレ,Djurleite,硫化鉱物・硫塩鉱物
テルル石,テルル,Tellurite,酸化鉱物
テルル蒼鉛鉱,テルル,Tetradymite,硫化鉱物・硫塩鉱物
ドーソン石,ドーソン,Dawsonite,炭酸塩鉱物
トパーズ（曹長石上）,トパーズ,Topaz,ネソ珪酸塩鉱物
トルコ石,トルコ,Turquoise,燐酸塩鉱物
